കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Type
ഗാനം ശ്രോത്രസുഖം നൽകൂ,,ഉള്ളൂർ എസ്. പരമേശ്വരയ്യർ,
നമിക്കിലുയരാം നടുകിൽത്തിന്നാംനൽകുകിൽ നേടീടാം,,ഉള്ളൂർ എസ്. പരമേശ്വരയ്യർ,
നമുക്കു നാമേ പണിവതു നാകം നരകവുമതുപോലെ.,,ഉള്ളൂർ എസ്. പരമേശ്വരയ്യർ,
മാനത്തു വട്ടത്തിൽ പാറുമീ പക്ഷിതൻ,,ഉള്ളൂർ എസ്. പരമേശ്വരയ്യർ,
തേനൊലിഗ്ഗാനത്തിൻ സാരമെന്തോ?,,ഉള്ളൂർ എസ്. പരമേശ്വരയ്യർ,
ഭൂഖണ്ഡമൊന്നിനൊന്നന്യമല്ലെന്നതി,,ഉള്ളൂർ എസ്. പരമേശ്വരയ്യർ,
താകവേ തൊട്ടറിഞ്ഞോതിടുന്നു.,,,
വെറുതെ വെറുമൊരു വേദനയോടെ കൈയിൽ,,എ. അയ്യപ്പൻ,
ഉണങ്ങിക്കരിഞ്ഞൊരു പൂവുമായ്‌ നിൽപ്പൂ ഗ്രീഷ്മം.,,എ. അയ്യപ്പൻ,
കൃപാധാമമേ ബുദ്ധാ കാണുവാനൊട്ടും വയ്യ,,എ. അയ്യപ്പൻ,
പ്രഭാതാരവും എന്നെ തെളിച്ച പുൽപ്പാതയും.,,എ. അയ്യപ്പൻ,
ഒഴുകിപ്പോയ പുഴയും കീറിപ്പോയ,,എ. അയ്യപ്പൻ,
കടലാസ് തത്തകളും ഇന്ന് സാക്ഷികളല്ല.,,എ. അയ്യപ്പൻ,
അഗ്നിയെ അണയ്ക്കുവാനാകാതെ,,എ. അയ്യപ്പൻ,
എരിഞ്ഞു കൊണ്ടോടി,,എ. അയ്യപ്പൻ,
ചീറിയലയ്ക്കും തിരമാലകളുടെ,,എ. അയ്യപ്പൻ,
നോവുകളെല്ലാം ഞാൻ മറക്കട്ടെ,,എ. അയ്യപ്പൻ,
മൃത്യു അതിഥിയാണ്.,,എ. അയ്യപ്പൻ,
ആതിഥേയൻ നല്‍കേണ്ടത്,,എ. അയ്യപ്പൻ,
അവന്റെ നെഞ്ചിടിപ്പുകൾ,,എ. അയ്യപ്പൻ,
ബെല്ലടിക്കുമ്പോൾ ക്ലാസ്സിലേക്ക്,,എം.ആർ.രേണുകുമാർ,
ഞങ്ങളോടൊപ്പം മഴയും ഓടിക്കയറും,,എം.ആർ.രേണുകുമാർ,
ആരു പറഞ്ഞാലും ഇറങ്ങിപ്പോകില്ല.,,എം.ആർ.രേണുകുമാർ,
ആർക്കുമായില്ല അതിന്റെ പേരു വെട്ടാൻ,,എം.ആർ.രേണുകുമാർ,
കാർത്തിക് പൊട്ടിപ്പോയ,,എം.ആർ.രേണുകുമാർ,
വള്ളിച്ചെരുപ്പ് ശരിയാക്കുകയായിരുന്നു,,എം.ആർ.രേണുകുമാർ,
അപ്പോഴായിരുന്നു മാനമിരുണ്ടതും,,എം.ആർ.രേണുകുമാർ,
മഴ പെയ്തതും കാറ്റിന്റെ ചങ്ങലയറ്റതും,,എം.ആർ.രേണുകുമാർ,
കൈവിടാതെന്നുമെങ്ങളെ,,എം.എസ്.ബനേഷ്,
കാത്തിടും ലോകദൈവമേ,,എം.എസ്.ബനേഷ്,
ഞാനെത്രവട്ടം വിരൽത്തന്ത്രികൾ മീട്ടീ മെല്ലെ,,എം.എസ്.ബനേഷ്,
തഴുകാൻ ശ്രമിച്ചതാണിക്കാടിന്നാഴങ്ങളെ.,,എം.എസ്.ബനേഷ്,
ഉപമയലങ്കാര മധുരമൊഴികളിൽ,,എം.എസ്.ബനേഷ്,
കർക്കശം മുടിവാരിക്കെട്ടി നീയപ്പോഴൊക്കെ.,,എം.എസ്.ബനേഷ്,
ഇടയ്ക്കൊരുപിടിയരി വിതറുമ്പോൾ,,എ.സി. ശ്രീഹരി,
തുടിച്ചടുത്തെത്തിത്തിടുക്കം കൊത്തിയും,,എ.സി. ശ്രീഹരി,
പദാർത്ഥ രൂപമായ്വിഷമവൃത്തത്തിൽ,,എ.സി. ശ്രീഹരി,
കുരുങ്ങിനില്‍ക്കുമീ നുറുങ്ങുജീവികൾ.,,എ.സി. ശ്രീഹരി,
ഈയനിശ്ചിതത്വത്തി,,എൻ.എൻ.കക്കാട്,
ന്നൊരായിരം മൃത്യുവേക്കാളും വലിപ്പം.,,എൻ.എൻ.കക്കാട്,
ചിത്രവർണ്ണങ്ങൾ കലർന്നൊടുക്കം തെരുവിലൂ,,എൻ.എൻ.കക്കാട്,
ടെത്രയോ നൂറ്റാണ്ടുകളോർമ്മയായൊഴുകുന്നു.,,എൻ.എൻ.കക്കാട്,
മങ്ങിയ മിഴികളിലിടയ്ക്കു,,എൻ.എൻ.കക്കാട്,
തീപ്പൂവുകൾ മിന്നിയും മാഞ്ഞും,,എൻ.എൻ.കക്കാട്,
തന്നിൽ താനലിഞ്ഞലയുന്നൂ.,,എൻ.എൻ.കക്കാട്,
ഓർമകളുണ്ടായിരിക്കണം,,എൻ.എൻ.കക്കാട്,
ഒക്കെയും വഴിയോരക്കാഴ്ചകളായ്,,എൻ.എൻ.കക്കാട്,
പഴയൊരു മന്ത്രം സ്മരിക്കാം,,എൻ.എൻ.കക്കാട്,
അന്യോന്യ മൂന്നു വടികളായ് നിൽക്കാം,,എൻ.എൻ.കക്കാട്,
ഹാ സഫലമീ യാത്ര...,,എൻ.എൻ.കക്കാട്,
കാലമിനിയുമുരുളും വിഷുവരും,,എൻ.എൻ.കക്കാട്,
വർഷംവരും തിരുവോണം വരും,,എൻ.എൻ.കക്കാട്,
പിന്നെയോരോ തളിരിനും പൂവരും കായ്‌,,എൻ.എൻ.കക്കാട്,
വരും അപ്പോളാരെന്നുമെന്തെന്നുമാർക്കറിയാം?,,എൻ.എൻ.കക്കാട്,
എണ്ണ വറ്റിയാൽക്കെടും മൺചെരാതിലെത്തിരി.,,എൻ.വികൃഷ്ണവാര്യർ,
പിന്നെയാവെട്ടം പൊൻ പൂവിടുമിത്തിരി വട്ടം.,,എൻ.വികൃഷ്ണവാര്യർ,
വണ്ടിയെത്തുന്ന ചന്തയിലങ്ങോ,,എസ്.ജോസഫ്,
ട്ടൊന്നരമൈൽ കഷ്ടിച്ചുകാണും,,എസ്.ജോസഫ്,
അങ്ങതാ പാലമൊന്നു കാണുന്നു,,എസ്.ജോസഫ്,
കുഞ്ഞൊരു ബസ് പോകുന്നു,,എസ്.ജോസഫ്,
ഇന്നോളം ഞാൻ പാടിയതെല്ലാം..,,ഒ. എൻ. വി.,
നിന്നെ കുറിച്ചായിരുന്നു…,,ഒ. എൻ. വി.,
ഞാൻ കേട്ടു കടലോളം സ്നേഹവും,,ഒ. എൻ. വി.,
ആർദ്രതയും നിന്റെ വാക്കിൽ,,ഒ. എൻ. വി.,
ഞാൻ പാടി അറിയാത്ത ഭാഷയിൽ,,ഒ. എൻ. വി.,
കേൾക്കാത്ത രാഗത്തിനോപ്പം,,ഒ. എൻ. വി.,
മച്ചില്ല തറ മെഴുകിയിട്ടില്ലാ.,,ഒ. എൻ. വി.,
ഞാൻ നിന്നെ ഉറക്കുന്ന വീട്ടിൽ,,ഒ. എൻ. വി.,
പൂപോലെ പൂവിൻ ഇതൾ പോലെ,,ഒ. എൻ. വി.,
നമ്മിലും പ്രണയം വിടർന്നു,,ഒ. എൻ. വി.,
ആ കമ്പികൾ മുറുക്കിയ ശതതന്ത്രിയും മീട്ടി,,ഒ. എൻ. വി.,
മണ്ണിലേയ്ക്കിറങ്ങി വന്നു ഈ മഴ,,,
കൂടുമാറുന്ന പക്ഷിപോൽ,,ഒ. എൻ. വി.,
വാടക വീടൊഴിഞ്ഞിന്നു,,ഒ. എൻ. വി.,
പോവുകയാണു ഞാൻ,,ഒ. എൻ. വി.,
മൊഴികളുടെയാഴങ്ങളിൽ,,ഒ. എൻ. വി.,
പഴമനസ്സുകൾ കുഴിച്ചിട്ട നിധിതേടി,,ഒ. എൻ. വി.,
വെറുതെയീ മോഹങ്ങളെന്നറിയുമ്പോഴും,,ഒ. എൻ. വി.,
വെറുതെ മോഹിക്കുവാൻ മോഹം,,ഒ. എൻ. വി.,
പണ്ടൊരവിൽ പൊതി നേടിയ ഭാഗ്യങ്ങൾ,,ഒ. എൻ. വി.,
വഞ്ചി തുഴഞ്ഞു പോകുന്നവർ പാടുന്ന കായലും,,ഒ. എൻ. വി.,
നിങ്ങൾ  തൻ  കണ്ണീർ  കലരാതിരിയ്ക്കട്ടെ,,ഒ. എൻ. വി.,
എന്നെങ്കിലുമെന്റെ പാട്ടിൽ,,ഒ. എൻ. വി.,
ഈയഴകിൻ  മുഹൂർത്തത്തിലെത്തിയോ,,ഒ. വി. ഉഷ,
നീയിവിടെ വിരുന്നിനായ് ദുഃഖമേ ?,,ഒ. വി. ഉഷ,
നിന്‍റെ കൈയെത്താത്തേടം,,ഒളപ്പമണ്ണ.,
നിന്‍റെ കണ്ണെത്താത്തേടം,,ഒളപ്പമണ്ണ.,
നീയാകെയെത്താത്തേട,,ഒളപ്പമണ്ണ.,
മില്ലയിക്കുടുംബത്തിൽ.,,ഒളപ്പമണ്ണ.,
തിങ്കളും താരങ്ങളും,,ഒളപ്പമണ്ണ.,
തൂവെള്ളിക്കതിർ ചിന്നും,,ഒളപ്പമണ്ണ.,
തുംഗമാം വാനിൻചോട്ടി,,ഒളപ്പമണ്ണ.,
ലാണെന്റെ വിദ്യാലയം,,ഒളപ്പമണ്ണ.,
കാലുപുതയും വരമ്പത്തെപ്പാഴ്ച്ചളി,,കടത്തനാട്ട് മാധവിയമ്മ,
ത്താരയിൽത്താമരത്താർ വിടര്‍ത്തി,,കടത്തനാട്ട് മാധവിയമ്മ,
ചേർക്കുണ്ടിൽത്താഴ്ത്തുമീത്തൂവിരൽത്തുമ്പത്രെ,,കടത്തനാട്ട് മാധവിയമ്മ,
നാട്ടിന്റെ നന്മകൾ നെയ്തെടുപ്പൂ,,കടത്തനാട്ട് മാധവിയമ്മ,
ഒറ്റക്കാലിൽ നിൽക്കയാണൊരു കാള,,കൽപ്പറ്റ നാരായണൻ,
പിന്നിലെ ഇടങ്കാലിൽ,,കൽപ്പറ്റ നാരായണൻ,
ദേഹഭാരം മുഴുവൻ പേറി,,കൽപ്പറ്റ നാരായണൻ,
ഏകാഗ്രതയാൽ മുറുകി.,,കൽപ്പറ്റ നാരായണൻ,
അന്നൊക്കെ ലക്ഷ്യങ്ങളിലേക്ക്,,കൽപ്പറ്റ നാരായണൻ,
അഞ്ചും എട്ടും ബീഡിയുടെ ദൂരം.,,കൽപ്പറ്റ നാരായണൻ,
ചെറുതന്യനു നന്മ ചെയ്കകൊ,,കുമാരനാശാൻ.,
ണ്ടൊരു ചേതം വരികില്ലയെങ്കിലും,,കുമാരനാശാൻ.,
പരനില്ലുപകാരമെങ്കിലീ,,കുമാരനാശാൻ.,
നരജന്മത്തിനു മാറ്റുമറ്റുപോം.,,കുമാരനാശാൻ.,
പൂക്കുന്നിതാ മുല്ലപൂക്കുന്നിലഞ്ഞി,,കുമാരനാശാൻ.,
പൂക്കുന്നു തേന്മാവുപൂക്കുന്നശോകം,,കുമാരനാശാൻ.,
വായ്ക്കുന്നു വേലിക്കു വർണ്ണങ്ങൾപൂവാൽ,,കുമാരനാശാൻ.,
ചോക്കുന്നു കാടന്തിമേഘങ്ങൾ പോലെ,,കുമാരനാശാൻ.,
സ്ഫുരിക്കുമീ നിന്നുടലിൻ പദാർത്ഥമെ,,കുമാരനാശാൻ.,
ന്തുരയ്ക്ക മിന്നൽപ്പിണരിൻ സ്ഫുലിംഗമോ?,,കുമാരനാശാൻ.,
വിരഞ്ഞുപോം താരഗണങ്ങൾ തമ്മിലാ,,കുമാരനാശാൻ.,
ഞ്ഞുരഞ്ഞുപാറും പൊടിയോ നിലാവതോ?,,കുമാരനാശാൻ.,
ചാരം നദിക്കും സുഹൃത്തിനും വിത്തിനും,,കുരീപ്പുഴ ശ്രീകുമാർ,
നേരറിയിച്ച നേരത്തിനും നൽകുക,,കുരീപ്പുഴ ശ്രീകുമാർ,
തേവിനനച്ചതും കൊയ്തുമെതിച്ചതും,,കുരീപ്പുഴ ശ്രീകുമാർ,
മോതിരക്കറ്റ മുഖപ്പുറം വെച്ചിട്ട്,,കുരീപ്പുഴ ശ്രീകുമാർ,
കാടി കുടിച്ചു വരമ്പായ് കിടന്നതും,,കുരീപ്പുഴ ശ്രീകുമാർ,
ഞാനേ കീഴാളൻ‌ പുതുനെല്ലിന്റെ കൂട്ടാളൻ‌,,കുരീപ്പുഴ ശ്രീകുമാർ,
രണ്ട് തീവണ്ടികൾക്കിടയിലേക്ക്,,കെ.ജി. ശങ്കരപ്പിള്ള,
ആരോ വലിച്ചെറിഞ്ഞ ഉച്ചമഴ കണ്ട്.,,കെ.ജി. ശങ്കരപ്പിള്ള,
നിരൂപിക്കാൻ കൂടി വയ്യാത്തമാതിരി,,കെ. പി. കറുപ്പൻ,
യരുമക്കൂടൊന്നു നാരുകൊണ്ടുണ്ടാക്കി,,കെ പി കറുപ്പൻ,
പെരുമ പാരില്‍ പരത്തുവാന്‍വിണ്‍തച്ച,,കെ പി കറുപ്പൻ,
പ്പെരുമാളോടോ പഠിച്ചതെന്‍പൈങ്കിളി?,,കെ പി കറുപ്പൻ,
കാനനച്ഛായയിലാടുമേയ്ക്കാന്‍,,ചങ്ങമ്പുഴ,
ഞാനും വരട്ടെയോ നിന്റെകൂടെ?,,ചങ്ങമ്പുഴ,
സംസാരമോക്ഷത്തിൻ കാരണമായതോ,,ചെറുശ്ശേരി,
വൈരാഗ്യമെന്നല്ലോ ചൊല്ലിക്കേൾപ്പൂ,,ചെറുശ്ശേരി,
പാടത്തിന്‍ കര നീളെ നീലനിറമായ്,,ചേലപ്പറമ്പു നമ്പൂതിരി.,
വേലിക്കൊരാഘോഷമായ്,,ചേലപ്പറമ്പു നമ്പൂതിരി.,
നറുപുഞ്ചിരിപൂണ്ടു നിന്നിടുന്നു,,ജി ശങ്കരക്കുറുപ്പ്.,
വെറുതേ നീ.പറയാനറിഞ്ഞുകൂടേ?,,ജി ശങ്കരക്കുറുപ്പ്.,
അര്യമാവിനെ സ്നേഹിക്കുന്ന ധിക്കാരത്തിന്നു,,ജി ശങ്കരക്കുറുപ്പ്.,
സൂര്യകാന്തിയെന്നെന്നെ പ്പുച്ഛിച്ചതാണീ ലോകം,,ജി ശങ്കരക്കുറുപ്പ്.,
സ്നേഹത്തില്‍ നിന്നില്ലല്ലോ മറ്റൊന്നും ലഭിച്ചീടാന്‍,,ജി ശങ്കരക്കുറുപ്പ്.,
സ്നേഹത്തിന്‍ഫലം സ്നേഹം,,ജി ശങ്കരക്കുറുപ്പ്.,
ജ്ഞാനത്തിന്‍ ഫലം ജ്ഞാനം.,,ജി ശങ്കരക്കുറുപ്പ്.,
മുത്തശ്ശിക്കഥ കേൾപ്പിച്ചില്ല,,ജിനേഷ്കുമാർ എരമം,
പൊട്ടൻതെയ്യം കാണിച്ചില്ല,,ജിനേഷ്കുമാർ എരമം,
മണ്ണിലിറക്കിയില്ല,,ജിനേഷ്കുമാർ എരമം,
മലയാളം തൊടീച്ചില്ല.,,ജിനേഷ് കുമാർ,
അയാൾക്കു കണ്ണില്ല,,ജോര്‍ജ്ജ് സെഫെരിസ്.,
കൈകൊണ്ടും കാണുന്നില്ല.,,ജോര്‍ജ്ജ് സെഫെരിസ്.,
അയാൾ ഉദയാസ്തമയങ്ങളെ അറിയുന്നു,,ജോര്‍ജ്ജ് സെഫെരിസ്.,
മൊട്ടിന്‍റെ അന്ത്യശ്വാസത്തില്‍ പുഞ്ചിരിയിടുന്ന പൂവും,,ടി കെ നാരായണക്കുറുപ്പ്,
പൂവിന്‍റെ ഹൃദയത്തില്‍ ഒതുങ്ങിയിരുന്നുകൊണ്ട്,,ടി കെ നാരായണക്കുറുപ്പ്,
ശാശ്വതത്തിനു വേണ്ടി തപസ്സു ചെയ്യുന്ന ചെടിയും,,ടി കെ നാരായണക്കുറുപ്പ്,
ആരാമത്തില്‍ എനിക്കു മാര്‍ഗദര്‍ശികളത്രെ,,ടി കെ നാരായണക്കുറുപ്പ്,
പൂവിടുന്നൊരു കിളിമരത്തില്‍,,ഡി വിനയചന്ദ്രന്‍,
ചോടെ നിന്നു ചിരിച്ചതാരോ,,ഡി വിനയചന്ദ്രന്‍,
കുഞ്ഞനുണ്ണി നാട്ടിലില്ല.,,ഡി വിനയചന്ദ്രന്‍,
ഇട്ടിക്കുറുമ്പത്തെങ്ങിലില്ല,,ഡി വിനയചന്ദ്രന്‍,
ചക്കക്കുരുവിന്‍റെയുള്ളിലില്ല,,ഡി വിനയചന്ദ്രന്‍,
ഓരോ വാക്കും തിരിച്ചും മറിച്ചുമിട്ട്,,ഡോണ മയൂര.,
ഓർമ്മയെ കൊണ്ട് തിരയിക്കും,,ഡോണ മയൂര.,
തിരഞ്ഞു തിരഞ്ഞൊടുവിൽ കണ്ടു പിടിക്കും.,,ഡോണ മയൂര.,
ഒരു കുട്ടിയുടെ ജിജ്ഞാസയോടെ,,ഡോണ മയൂര.,
കമ്പുകൊണ്ടുകുത്തിനോക്കി,,ഡോണ മയൂര.,
തൊട്ട് നിൽക്കുന്നതെന്തിന്‍?,,ഡോണ മയൂര.,
ഒരു അടുക്കളയുടെ സെല്‍ഫി,,ദ്രുപദ് ഗൗതം,
നിങ്ങള്‍ കണ്ടിട്ടുണ്ടോ...?,,ദ്രുപദ് ഗൗതം,
ചിലഇഷ്ടങ്ങളെ തിളപ്പിച്ച് പാലൊഴിച്ച്,,ദ്രുപദ് ഗൗതം,
ചായയെന്നപോലെ നീട്ടിയൊഴിച്ചാറ്റിവയ്ക്കും,,ദ്രുപദ് ഗൗതം,
കടല്‍ച്ചട്ടിയില്‍ സൂര്യന്‍ മുളകരച്ചരച്ച്,,ദ്രുപദ് ഗൗതം,
കടമ്പുളിയിട്ടുവറ്റിച്ച മീന്‍കറിയാണ് സന്ധ്യ.,,ദ്രുപദ് ഗൗതം,
എന്‍ ചിറകൊച്ചയായ്. നെഞ്ചിടിപ്പായ്,,നീലമ്പേരൂര്‍ മധുസൂദനന്‍ നായര്‍.,
നീയൊപ്പമുണ്ടെന്നുറയ്ക്കില്‍ ഞാന്‍,,നീലമ്പേരൂര്‍ മധുസൂദനന്‍ നായര്‍.,
മണ്ണിന്‍ മനസ്സിലെ പൂവ്,,നീലമ്പേരൂര്‍ മധുസൂദനന്‍ നായര്‍.,
അഖിലാണ്ഡ മണ്ഡലമണിയിച്ചൊരുക്കി,,പന്തളം കെ.പി. രാമൻ പിള്ള,
അതിനുള്ളിലാനന്ദ ദീപം കൊളുത്തി,,പന്തളം കെ.പി. രാമൻ പിള്ള,
കൈകൂപ്പി പ്രാര്‍ഥിക്കുമ്പോള്‍,, പവിത്രന്‍ തീക്കുനി,
വഴിയില്‍ കണ്ട കണ്ണുകളിലെ,, പവിത്രന്‍ തീക്കുനി,
ദൈന്യതകള്‍ക്കുവേണ്ടിയും ഒന്നുള്ളുരുകുക,, പവിത്രന്‍ തീക്കുനി,
കൈയിലുള്ളതു മുഴുവന്‍,, പവിത്രന്‍ തീക്കുനി,
കാണിക്കവഞ്ചിയിലേക്കിടുമ്പോള്‍,, പവിത്രന്‍ തീക്കുനി,
വഴിവക്കില്‍  വിശപ്പുനീട്ടിയ,, പവിത്രന്‍ തീക്കുനി,
കൈകളെകൂടിയോര്‍ക്കുക,, പവിത്രന്‍ തീക്കുനി,
ഒരു വെറും മാത്ര മാത്രമെങ്കിലും നിന്‍,, പവിത്രന്‍ തീക്കുനി,
കനവിലേക്കെന്നെ വിളിച്ചിരുന്നെങ്കില്‍,, പവിത്രന്‍ തീക്കുനി,
പുലര്‍ച്ചയ്ക്കുമുമ്പേ പാഞ്ഞുപോകും വണ്ടിയില്‍,,പവിത്രന്‍ തീക്കുനി,
ആള്‍ത്തിരക്കിലൊറ്റയ്ക്കിരിക്കുവോളേ..,,പവിത്രന്‍ തീക്കുനി,
എന്‍റെ കവിതയില്‍ഇത്തിരി,,പവിത്രന്‍ തീക്കുനി,
തീകാഞ്ഞു പൊയ്ക്കൂടേ?,,പവിത്രന്‍ തീക്കുനി,
ഉടഞ്ഞ കുപ്പിവളകളിൽ മുഖം വീർപ്പിച്ച്,,പവിത്രന്‍ തീക്കുനി,
ഉത്സവത്തിന്റെ പടിയിറങ്ങണം,,പവിത്രന്‍ തീക്കുനി,
കയറ്റക്കാരന്‍ കണാരേട്ടനെ,,പവിത്രന്‍ തീക്കുനി,
തെങ്ങ് കാത്തിരുന്നപോലെ.,,പവിത്രന്‍ തീക്കുനി,
രണ്ടു മൗനങ്ങള്‍ക്കിടയിൽ,,പവിത്രന്‍ തീക്കുനി,
നീയെന്നെ കാണാറുള്ളതുപോലെ,,പവിത്രന്‍ തീക്കുനി,
രണ്ടു സ്വപ്നങ്ങൾക്കിടയിൽ,,പവിത്രന്‍ തീക്കുനി,
ഞാൻ നിന്നെയും കാണാറുണ്ട്.,,പവിത്രന്‍ തീക്കുനി,
ശത്രുവിനേക്കാള്‍ കരുതിയേയ്ക്കണം,,പവിത്രന്‍ തീക്കുനി,
പിണങ്ങിപ്പോയ സുഹൃത്തിനെ.,,പവിത്രന്‍ തീക്കുനി,
കാത്തിരിപ്പുകള്‍ക്ക്,,പവിത്രന്‍ തീക്കുനി,
വര്‍ണ്ണ ചിറകുകള്‍ മുളക്കുമെന്നു,,പവിത്രന്‍ തീക്കുനി,
കടലില്‍ നിന്നു കരക്കുപിടിച്ചിട്ടപോലെ,,പവിത്രന്‍ തീക്കുനി,
ജീവിതം മാറ്റിവെച്ചവള്‍.,,പവിത്രന്‍ തീക്കുനി,
പ്രതീക്ഷ പട്ടുപോയവന്‍,,പി ആര്‍ രതീഷ്,
വീടഭയമല്ല സുഹൃത്ത് തണലല്ല,,പി ആര്‍ രതീഷ്,
വെറുമൊരു വഴിപാടുമാത്രം.,,പി ആര്‍ രതീഷ്,
അവനു വേണ്ടി മാത്രം,,പി ആര്‍ രതീഷ്,
മൗനത്തിലവന്‍ കുറിച്ചിട്ട വരികള്‍.,,പി ആര്‍ രതീഷ്,
ചെറുപ്പത്തിൽ ഞാൻ എന്ന്,,പി എന്‍ ഗോപീകൃഷ്ണന്‍.,
പറയാൻ പഠിച്ചിട്ടില്ലായിരുന്നു.,,പി എന്‍ ഗോപീകൃഷ്ണന്‍.,
താന്‍ കാംക്ഷിച്ചിരുന്നതിനേക്കാളും,,പി എന്‍ ഗോപീകൃഷ്ണന്‍.,
വൃത്തി ആ മുറ്റത്തിനുണ്ടായിരുന്നു,,പി എന്‍ ഗോപീകൃഷ്ണന്‍.,
എവിടെ വാക്കുകള്‍? എന്റെ ബാല്യത്തിന്റെ,,പി കെ പാറക്കടവ്.,
കളിയിടത്തിലെ മഞ്ചാടിമുത്തുകള്‍,,പി കെ പാറക്കടവ്.,
വളമുറികള്‍മിഠായികള്‍ശംഖുകള്‍,,പി കെ പാറക്കടവ്.,
ഒളിവിലെന്‍ പീലി പെറ്റ നുറുങ്ങുകള്‍?,,പി കെ പാറക്കടവ്.,
ഒന്ന് രണ്ട് മൂന്നെന്നിങ്ങനെ,,പി പി രാമചന്ദ്രൻ,
കണ്ണുംപൊത്തി ചൊല്ലിയവന്‍,,പി പി രാമചന്ദ്രൻ,
എന്നിട്ടും നീ കണ്ണുതുറന്നി‌ട്ടെന്നെ മാത്രം കണ്ടില്ല,,പി പി രാമചന്ദ്രൻ,
കണ്ണില്‍പ്പെടുവാന്‍മാത്രം ഞാനൊരു,,പി പി രാമചന്ദ്രൻ,
പെണ്ണായ്‌ത്തീരാഞ്ഞിട്ടാണോ,,പി പി രാമചന്ദ്രൻ,
കണ്ണഞ്ചിച്ചു പ്രകാശം ചൊരിയും,,പി പി രാമചന്ദ്രൻ,
പൊന്നായ്‌ മാറാഞ്ഞിട്ടാണോ,,പി പി രാമചന്ദ്രൻ,
സ്വന്തം ഭാഷയെ ഉപേക്ഷിച്ചു പോയ,,പി രാമന്‍.,
എന്‍റെ ജനതയെ എന്‍റെ കവിതയുടെ,,പി രാമന്‍.,
അടിത്തട്ടില്‍ വെച്ചു കണ്ടു മുട്ടി,,പി രാമന്‍.,
കവിയല്ലാത്ത ഒരാൾ,,പി ശിവപ്രസാദ്.,
കവിത എങ്ങനെ എഴുതും? ,,പി ശിവപ്രസാദ്.,
തളിർക്കുന്ന ഇലയോരോന്നും ,,പി ശിവപ്രസാദ്.,
ജീവിതപ്രണയത്തിന്റെ ജലതരംഗമാകും.,,പി ശിവപ്രസാദ്.,
സംഘകാലം തമിഴഴകിൽ  പീലിവിരിക്കും.,,പി ശിവപ്രസാദ്.,
ഭാരതിയാരെ തൊഴുതുവണങ്ങി,,പി ശിവപ്രസാദ്.,
വീറുണർന്ന പാഞ്ചാലി മുടിയഴിക്കും.,,പി ശിവപ്രസാദ്.,
അക്ഷരം കാറ്റാം ഗുരുവിൽ  നിന്നുത്ഭവിച്ച്‌,,പി ശിവപ്രസാദ്.,
ഒറ്റ ക്ഷണത്തില്‍ പെരുമ്പറത്തോറ്റമായ്‌,,പി ശിവപ്രസാദ്.,
വീരതിലകം ചാർത്തി നിൽക്കും വടക്കൻ പാട്ടേ,,പുനലൂര്‍ ബാലന്‍,
നേരിനെ പുണർന്നു നിൽക്കും വടക്കൻ പാട്ടേ,,പുനലൂര്‍ ബാലന്‍,
ഇല്ല കേള്‍ക്കാന്‍ നിന്‍ മനസെങ്കിലെന്തിനായ്,,പ്രഭാവര്‍മ്മ,
ഇന്നെന്‍ പദങ്ങള്‍.ജതികളീണങ്ങളും,,പ്രഭാവര്‍മ്മ,
ഇരുകരകളായ് നിൽക്കുന്ന നമ്മുടെ,,പ്രസാദ് കരുവളം,
ഇടയിലേകനായ് നിൽക്കുന്ന പാലം,,പ്രസാദ് കരുവളം,
ജയ  ജയ  കോമളകേരളധരണീ,,ബോധേശ്വരന്‍.,
ജയ  ജയ  മാമകപൂജിതജനനീ,,ബോധേശ്വരന്‍.,
തുഞ്ചശുകീകളകണ്ഠനിനാദം,,ബോധേശ്വരന്‍.,
തഞ്ചും മാമക  മലയാളത്തിൽ,,ബോധേശ്വരന്‍.,
വ്യഥയില്‍ വെന്തുവെന്ത്,,മാധവന്‍ പുറച്ചേരി,
ആര്‍ക്കും അര്‍ത്ഥിക്കാവുന്ന,,മാധവന്‍ പുറച്ചേരി,
ഏത് മുറിവിനും മരുന്നായി,,മാധവന്‍ പുറച്ചേരി,
കനലു ചിന്തുന്ന വാക്കിന്റെ തീരത്ത്,,മുരുകന്‍ കാട്ടാക്കട,
കടല് കാണുന്ന കുട്ടിയെ പോലെ ഞാന്‍,,മുരുകന്‍ കാട്ടാക്കട,
തപസ്സു ചെയ്യുന്ന ദിക്കില്‍ നിന്‍ ഹൃദയവും,,മുരുകന്‍ കാട്ടാക്കട,
മിഴിയും അര്‍പ്പിച്ചിരിക്കുന്ന കാഴ്ച്ചയെന്‍,,മുരുകന്‍ കാട്ടാക്കട,
ഇഷ്ടമോഹങ്ങള്‍ക്കു വര്‍ണ്ണരാഗം ചേര്‍ത്തു,,മുരുകന്‍ കാട്ടാക്കട,
പട്ടുനെയ്യുന്നു നീ പാട്ടുകാരീ,,മുരുകന്‍ കാട്ടാക്കട,
കയ്യില്‍ നിന്നൂര്‍ന്ന പൂ പൊയ്കയില്‍,,മുരുകന്‍ കാട്ടാക്കട,
നീന്തുന്ന കണ്ടു കരഞ്ഞിടും കുട്ടിപോലെ,,മുരുകന്‍ കാട്ടാക്കട,
